MONTHLY_SALES,GOODS_URL,GOODS_PRICE,IMG_URL,GOODS_NAME
947笔,https://detail.tmall.com/item.htm?id=547845431068&skuId=3484371667563&standard=1&user_id=133668489&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5049.00,http://img.alicdn.com/bao/uploaded/i6/TB1xaFcRpXXXXbOXVXXDmDx.XXX_100810.jpg_b.jpg, 银河舰队2代 HP/惠普 PAVILION 15 游戏笔记本电脑暗影精灵2代Pro
682笔,https://detail.tmall.com/item.htm?id=543437409299&skuId=3434337259021&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,7499.00,http://img.alicdn.com/bao/uploaded/i3/TB1y28SQpXXXXb2XpXXoepvFXXX_083915.jpg_b.jpg, Hasee/神舟 战神 Z7-KP7S1 i7 6G独显gtx1060游戏本笔记本电脑
815笔,https://detail.tmall.com/item.htm?id=543035827310&skuId=3430065314190&user_id=1730407557&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,6699.00,http://img.alicdn.com/bao/uploaded/i7/TB1PzvtOFXXXXXkXpXX9MP0.pXX_073950.jpg_b.jpg, MACHENIKE 机械师F117 F1K i7独显gtx1050ti游戏本手提笔记本电脑
977笔,https://detail.tmall.com/item.htm?id=548995940096&skuId=3366191484161&user_id=601366705&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,4197.00,http://img.alicdn.com/bao/uploaded/i2/TB1PvfBQVXXXXb_XXXXwHeA9FXX_044000.jpg_b.jpg, QRTECH 麦本本 大麦5 笔记本电脑i5 15.6手提GTX1050轻薄游戏本
918笔,https://detail.tmall.com/item.htm?id=539369832546&skuId=3195453430733&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,4899.00,http://img.alicdn.com/bao/uploaded/i7/TB16CwFNpXXXXbnXpXXLgzJ.VXX_113009.jpg_b.jpg, Hasee/神舟 战神 Z7M-SL7/D2 i7 gtx965M 独显游戏本笔记本电脑
917笔,https://detail.tmall.com/item.htm?id=544732969418&skuId=3447130342098&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,4299.00,http://img.alicdn.com/bao/uploaded/i2/255921860/TB2MUx9ebBmpuFjSZFuXXaG_XXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神 K670D-G4D1 gtx1050 4G显存 游戏本笔记本电脑
417笔,https://detail.tmall.com/item.htm?id=547138473637&skuId=3475647550453&user_id=2182235688&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,3799.00,http://img.alicdn.com/bao/uploaded/i4/TB1AwYgQXXXXXcCapXXN7ZD.FXX_110528.jpg_b.jpg, 炫龙 毁灭者DC 游戏本七代处理器GTX950M 4G独显游戏笔记本电脑
644笔,https://detail.tmall.com/item.htm?id=534627693481&skuId=3190367158249&standard=1&user_id=2182235688&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,4599.00,http://img.alicdn.com/bao/uploaded/i3/TB1NnBNPpXXXXclapXX48db.pXX_071937.jpg_b.jpg, 炫龙 毁灭者 DC Pro笔记本4G独显GTX1050 七代处理器手提游戏本
364笔,https://detail.tmall.com/item.htm?id=534625157964&skuId=3247297156010&standard=1&user_id=2763032887&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5099.00,http://img.alicdn.com/bao/uploaded/i5/TB1mBRSQpXXXXbhXFXX5s_k.XXX_070703.jpg_b.jpg, HP/惠普 光影精灵 暗影精灵II 2代Pro游戏本笔记本电脑i7独显Plus
467笔,https://detail.tmall.com/item.htm?id=543241983819&skuId=3319947297809&user_id=2248284179&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5998.00,http://img.alicdn.com/bao/uploaded/i7/TB1WKQHPFXXXXXhXFXXwBVF_XXX_051805.jpg_b.jpg, 火影 金钢 T2 15.6英寸 i7独显gtx1050ti游戏本手提笔记本电脑
428笔,https://detail.tmall.com/item.htm?id=544759775614&skuId=3447126642509&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5299.00,http://img.alicdn.com/bao/uploaded/i2/255921860/TB2p.NwdwxlpuFjy0FoXXa.lXXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神 K670E-G6D1 i5 gtx1050独显游戏本笔记本电脑
490笔,https://detail.tmall.com/item.htm?id=546655767170&skuId=3469108402350&user_id=2111250403&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,6799.00,http://img.alicdn.com/bao/uploaded/i4/TB1BktlQXXXXXXbXpXXFr8V_XXX_051919.jpg_b.jpg, 雷神THUNDEROBOT 911 911M梦想版i7独显便携手提游戏本笔记本电脑
379笔,https://detail.tmall.com/item.htm?id=532899243631&skuId=3481403254291&user_id=815790057&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,4799.00,http://img.alicdn.com/bao/uploaded/i3/TB12Zc0OVXXXXaBXpXXJV0w_XXX_052022.jpg_b.jpg, HP/惠普 光影精灵 暗影精灵II代pro 暗夜精灵2游戏本笔记本电脑I7
399笔,https://detail.tmall.com/item.htm?id=543579085745&skuId=3487910623593&standard=1&user_id=686773455&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,6099.00,http://img.alicdn.com/bao/uploaded/i6/TB172FSOVXXXXcLapXXAzEt_VXX_065635.jpg_b.jpg, Asus/华硕 FX fx53笔记本电脑 游戏本学生i7独显飞行堡垒15.6英寸
405笔,https://detail.tmall.com/item.htm?id=547703315339&skuId=3318286689816&user_id=1730407557&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5899.00,http://img.alicdn.com/bao/uploaded/i2/1730407557/TB2iuM3f5C9MuFjSZFoXXbUzFXa_!!1730407557.jpg_b.jpg, MACHENIKE 机械师T58 TiX i7独显游戏本gtx1050ti轻薄笔记本电脑
92笔,https://detail.tmall.com/item.htm?id=544208103709&skuId=3441985295941&standard=1&user_id=2943026087&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,8799.00,http://img.alicdn.com/bao/uploaded/i5/TB1Tmo7OVXXXXcDapXXGt3x_FXX_062728.jpg_b.jpg,
93笔,https://detail.tmall.com/item.htm?id=545157787483&skuId=3451361131049&user_id=2111250403&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,9299.00,http://img.alicdn.com/bao/uploaded/i1/TB1t1g_PFXXXXcFXVXXxrgV9FXX_045457.jpg_b.jpg, 雷神THUNDEROBOT 911 Targa i7独显GTX1060轻薄游戏本笔记本电脑
96笔,https://detail.tmall.com/item.htm?id=547912515317&skuId=3485236699180&standard=1&user_id=133668489&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,6799.00,http://img.alicdn.com/bao/uploaded/i4/TB1vm1xQpXXXXXdaFXXapah.pXX_073104.jpg_b.jpg, 银河舰队2代HP/惠普 pavilion15 bc219tx笔记本电脑i7暗影精灵2代
407笔,https://detail.tmall.com/item.htm?id=539367366683&skuId=3231679136985&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5999.00,http://img.alicdn.com/bao/uploaded/i7/TB1gEMtNpXXXXccXFXXU6d7.FXX_105629.jpg_b.jpg, Hasee/神舟 战神 Z7-SP5D1 i5gtx10606g独显商务游戏本笔记本电脑
97笔,https://detail.tmall.com/item.htm?id=543038155257&skuId=3485488462193&user_id=601366705&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5098.00,http://img.alicdn.com/bao/uploaded/i7/TB1D_mSPXXXXXbcXFXXbXZ_FFXX_095527.jpg_b.jpg, QRTECH 麦本本 黑麦 5X 游戏本15.6 GTX1050手提商务笔记本电脑i7
103笔,https://detail.tmall.com/item.htm?id=537280765713&skuId=3208233852004&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,3999.00,http://img.alicdn.com/bao/uploaded/i4/TB1sCfcLpXXXXbKapXXtokM_FXX_062846.jpg_b.jpg, Hasee/神舟 战神 K650D-SL5D1 i5四核gtx950M游戏本笔记本电脑
103笔,https://detail.tmall.com/item.htm?id=544157823503&skuId=3277400725153&user_id=255921860&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,6999.00,http://img.alicdn.com/bao/uploaded/i5/TB13xJ1RpXXXXXJXpXXRcTm8XXX_021052.jpg_b.jpg, Hasee/神舟 战神 Z7-KP7D1 i7 gtx1060 6g独显游戏本笔记本电脑
109笔,https://detail.tmall.com/item.htm?id=547807585540&skuId=3322210785981&user_id=133668489&cat_id=53320010&is_b=1&rn=8738f31012261f43af6192663a974b32,5399.00,http://img.alicdn.com/bao/uploaded/i2/TB1T2FxLpXXXXbkapXXy3MY8pXX_024809.jpg_b.jpg, 暗影精灵2代 北极星HP/惠普 HP OMEN 15-AX101TX游戏本笔记本电脑
89笔,https://detail.tmall.com/item.htm?id=549511216298&skuId=3342112400090&user_id=2301731819&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5189.00,http://img.alicdn.com/bao/uploaded/i1/TB1xKYwQVXXXXaVapXXrdJUFVXX_125923.jpg_b.jpg, Asus/华硕 灵耀 U5000UX7200  轻薄便携15.6英寸笔记本手提电脑
85笔,https://detail.tmall.com/item.htm?id=547576365938&skuId=3481509227447&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5499.00,http://img.alicdn.com/bao/uploaded/i2/TB1T4BVQpXXXXa1XpXXrZiN.VXX_112225.jpg_b.jpg, 炫龙 炎魔T50 i7笔记本七代i7-7700HQ处理器GTX1050游戏笔记本
77笔,https://detail.tmall.com/item.htm?id=548143575491&skuId=4611686566570963395&user_id=2301731819&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5199.00,http://img.alicdn.com/bao/uploaded/i2/TB1SV_RQpXXXXblXVXXGT_U8VXX_032843.jpg_b.jpg, Asus/华硕 F FX53VD7300 ZX53VD 飞行堡垒 游戏本笔记本电脑四核
73笔,https://detail.tmall.com/item.htm?id=550990880449&skuId=3528196706777&user_id=126446588&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5999.00,http://img.alicdn.com/bao/uploaded/i3/TB1TU_7RXXXXXX8XFXXUhKJ8VXX_031943.jpg_b.jpg, Lenovo/联想 拯救者 Y520-15IKB I5/256G硬盘/4G独显 游戏笔记本
74笔,https://detail.tmall.com/item.htm?id=550335265695&skuId=3517775435119&user_id=2111250403&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,7999.00,http://img.alicdn.com/bao/uploaded/i6/TB1BB26RpXXXXaMXXXXiPtJ_XXX_052126.jpg_b.jpg,
73笔,https://detail.tmall.com/item.htm?id=533274058049&skuId=4611686551701445953&user_id=1825950655&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3799.00,http://img.alicdn.com/bao/uploaded/i5/TB1Njt2OVXXXXa_aFXXA9H.FXXX_115851.jpg_b.jpg, Hasee/神舟 战神 K660D-I5D4游戏本GTX960M独显学生笔记本电脑
68笔,https://detail.tmall.com/item.htm?id=544190352515&skuId=3278180868491&user_id=2943026087&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,13999.00,http://img.alicdn.com/bao/uploaded/i2/TB1CbsFOVXXXXaoapXXoN5V_XXX_053028.jpg_b.jpg, MSI/微星 GT72VR 7RE-467CN 笔记本电脑 酷睿i7游戏本独显分期
68笔,https://detail.tmall.com/item.htm?id=546855380819&skuId=3352662736311&standard=1&user_id=686773455&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,8299.00,http://img.alicdn.com/bao/uploaded/i4/686773455/TB2Ta3oh3xlpuFjSszbXXcSVpXa_!!686773455.jpg_b.jpg, Asus/华硕 FX FX73VD7700飞行堡垒i7独显17英寸大屏笔记本电脑
67笔,https://detail.tmall.com/item.htm?id=541222362813&skuId=3525671895849&user_id=2260266618&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4699.00,http://img.alicdn.com/bao/uploaded/i7/TB1oPntOXXXXXcIXVXXonlu9FXX_042833.jpg_b.jpg, Asus/华硕 zx ZX53飞行堡垒四核独显游戏本固态笔记本电脑
69笔,https://detail.tmall.com/item.htm?id=531122586589&skuId=3165922434353&standard=1&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4899.00,http://img.alicdn.com/bao/uploaded/i4/TB1v_pMKpXXXXaWXXXXpWHU.pXX_104220.jpg_b.jpg, 炫龙 炎魔T1 Pro GTX965M独显4G游戏本I7四核笔记本电脑1080P高清
68笔,https://detail.tmall.com/item.htm?id=539328089005&skuId=3195065743581&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3999.00,http://img.alicdn.com/bao/uploaded/i7/TB1NlMxNpXXXXbXXXXXVXjwFpXX_121457.jpg_b.jpg, 炫龙 毁灭者DD 游戏本台式G4560处理器4G显存GTX960M游戏本电脑
71笔,https://detail.tmall.com/item.htm?id=539336530326&skuId=3195149635794&user_id=2111250403&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5988.00,http://img.alicdn.com/bao/uploaded/i5/TB1hDZKNFXXXXbbXXXXVwDB9VXX_050437.jpg_b.jpg, 雷神小钢炮GTX965M独显i7游戏本笔记本电脑THUNDEROBOT ST ST-R3
72笔,https://detail.tmall.com/item.htm?id=547290830346&skuId=3511990647948&user_id=653069742&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4999.00,http://img.alicdn.com/bao/uploaded/i4/2918377911/TB2GNA7gB8lpuFjy0FnXXcZyXXa_!!2918377911.jpg_b.jpg, MECHREVO/机械革命 X6 X6Ti-S铂金版学生笔记本游戏本1050显卡
66笔,https://detail.tmall.com/item.htm?id=543431241143&skuId=3280670536468&standard=1&user_id=379092568&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5999.00,http://img.alicdn.com/bao/uploaded/i8/TB1W5DYPVXXXXcWXFXXxqDA.pXX_103746.jpg_b.jpg, Dell/戴尔 灵越 Ins15-7567-1645游匣Master 10系独显四核游戏本
79笔,https://detail.tmall.com/item.htm?id=547607482557&skuId=4611686566034870461&standard=1&user_id=459462135&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6199.00,http://img.alicdn.com/bao/uploaded/i6/TB1i77eRpXXXXcvXpXXRZjZ.pXX_104239.jpg_b.jpg, Lenovo/联想 拯救者 R720-15IKB i7 游戏笔记本手提电脑15.6英寸
83笔,https://detail.tmall.com/item.htm?id=526579902935&skuId=3134927482409&user_id=2262291039&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6999.00,http://img.alicdn.com/bao/uploaded/i1/TB1vbepPXXXXXXNXpXXuVlD8VXX_031401.jpg_b.jpg, MSI/微星 GE62 6QF-203XCN六代i7+GTX970M独显游戏笔记本电脑GE62
58笔,https://detail.tmall.com/item.htm?id=544491162914&skuId=3316391992254&user_id=656928553&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5959.00,http://img.alicdn.com/bao/uploaded/i6/TB1hzuzQFXXXXaaXXXXZs798pXX_024902.jpg_b.jpg, Lenovo/联想 拯救者15 i7 6700HQ 4G独显手提游戏本笔记本电脑
59笔,https://detail.tmall.com/item.htm?id=524701001840&skuId=3122675318467&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5299.00,http://img.alicdn.com/bao/uploaded/i3/TB1sufSKFXXXXcZXVXX3sOH8VXX_031931.jpg_b.jpg, Hasee/神舟 战神 CN17S01 G6-SL7S2 17.3 i7独显游戏本笔记本电脑
59笔,https://detail.tmall.com/item.htm?id=539379682186&skuId=3195535835099&user_id=1647052829&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5389.00,http://img.alicdn.com/bao/uploaded/i1/TB1S2csNpXXXXbvXVXXqxJV8FXX_025606.jpg_b.jpg, Lenovo/联想 小新 700 i7电竞版超薄笔记本电脑游戏本手提四核
60笔,https://detail.tmall.com/item.htm?id=547767960017&skuId=3494369686100&standard=1&user_id=133668489&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4599.00,http://img.alicdn.com/bao/uploaded/i2/TB1RhRZQFXXXXamXVXXsqld_XXX_051555.jpg_b.jpg, HP/惠普 ENVY15 AE122TX 超薄游戏笔记本电脑 轻薄便携15.6英寸
60笔,https://detail.tmall.com/item.htm?id=540618506192&skuId=3206409810941&standard=1&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3999.00,http://img.alicdn.com/bao/uploaded/i7/TB1yibCNVXXXXbnXFXXLC_h8XXX_021026.jpg_b.jpg, Hasee/神舟 战神 K660D G5D1 酷睿4G独显gtx960M游戏本笔记本电脑
62笔,https://detail.tmall.com/item.htm?id=544478416226&skuId=3488520454868&user_id=1730407557&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5799.00,http://img.alicdn.com/bao/uploaded/i3/1730407557/TB2soFKdOpnpuFjSZFkXXc4ZpXa_!!1730407557.jpg_b.jpg, MACHENIKE 机械师 T58 GTX1050 i7独显游戏本笔记本电脑 轻薄手提
54笔,https://detail.tmall.com/item.htm?id=544624696425&skuId=3282288920717&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,10999.00,http://img.alicdn.com/bao/uploaded/i2/255921860/TB2m8uldmBjpuFjy1XdXXaooVXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神 G8-KP7S1 i7独显gtx1070 17.3游戏本笔记本电脑
55笔,https://detail.tmall.com/item.htm?id=539441960003&skuId=3304411157612&standard=1&user_id=2301408602&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,3548.00,http://img.alicdn.com/bao/uploaded/i7/TB1w_LyNpXXXXa9XFXXykYK8FXX_030131.jpg_b.jpg, Hasee/神舟 战神 T5-G4D1/T5-G4S1/T6-G4D2/游戏本15.6/M.2/1080
55笔,https://detail.tmall.com/item.htm?id=543808561569&skuId=3484217275519&standard=1&user_id=2248284179&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,7298.00,http://img.alicdn.com/bao/uploaded/i5/TB1wCsHPVXXXXaFXXXXXzPr_XXX_053308.jpg_b.jpg, 火影 金钢 GT 15.6英寸游戏本 GTX1060独显学生i7手提笔记本电脑
44笔,https://detail.tmall.com/item.htm?id=544001933482&skuId=3529846838747&user_id=2510050218&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,18298.00,http://img.alicdn.com/bao/uploaded/i1/TB1VzQyOVXXXXaDXVXXEhxlFpXX_090056.jpg_b.jpg, Dell/戴尔alienware ALW17C- 2738new外星人独显笔记本电脑游戏本
45笔,https://detail.tmall.com/item.htm?id=550888857705&skuId=3361190356401&user_id=726748565&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4599.00,http://img.alicdn.com/bao/uploaded/i3/TB1BmKLPpXXXXXHXFXXUG1I8pXX_023353.jpg_b.jpg, Dell/戴尔 灵越15(7559) Ins15P-2548B
46笔,https://detail.tmall.com/item.htm?id=545364276592&skuId=3454353326518&user_id=255921860&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6999.00,http://img.alicdn.com/bao/uploaded/i4/255921860/TB2k9YGeHplpuFjSspiXXcdfFXa_!!255921860.jpg_b.jpg, Hasee/神舟 战神系列 Z7-SP7S2 i7四核gtx1060独显游戏笔记本电脑
47笔,https://detail.tmall.com/item.htm?id=547737198214&skuId=3483265943810&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5199.00,http://img.alicdn.com/bao/uploaded/i5/TB13f1BQpXXXXaoXpXXuFKTFXXX_115214.jpg_b.jpg, 炫龙 毁灭者 DC Pro i5笔记本4G独显GTX1050 i5手提游戏本电脑
47笔,https://detail.tmall.com/item.htm?id=544545187490&skuId=3281589405534&standard=1&user_id=686773455&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5299.00,http://img.alicdn.com/bao/uploaded/i3/686773455/TB2aLScdOlnpuFjSZFgXXbi7FXa_!!686773455.jpg_b.jpg, Asus/华硕 FX 53VD7300笔记本电脑游戏本学生手提电脑15.6英寸i5
42笔,https://detail.tmall.com/item.htm?id=547624726893&skuId=3481625526296&standard=1&user_id=2730985692&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5199.00,http://img.alicdn.com/bao/uploaded/i4/TB1PA8QQpXXXXXGXVXXno5F_VXX_064422.jpg_b.jpg, HP/惠普 暗影精灵Ⅱ Pro游戏笔记本电脑暗夜精灵2代plus独显超薄
42笔,https://detail.tmall.com/item.htm?id=545653346604&skuId=4611686564080734508&standard=1&user_id=2656954396&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,8599.00,http://img.alicdn.com/bao/uploaded/i8/TB15.faPFXXXXb1apXX2kWd8VXX_032005.jpg_b.jpg, 现货Dell/戴尔 XPS15 9560 9550超极本笔记本超薄游戏独显微边框
40笔,https://detail.tmall.com/item.htm?id=542141127511&skuId=3421205367584&user_id=2918377911&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5499.00,http://img.alicdn.com/bao/uploaded/i4/TB1.6F8OpXXXXaCapXXioQi9pXX_042231.jpg_b.jpg, MECHREVO/机械革命 X6TI X6Ti多彩版游戏本i7-6700HQ学生笔记本
41笔,https://detail.tmall.com/item.htm?id=543672953857&skuId=3436665611738&standard=1&user_id=2182235688&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,4999.00,http://img.alicdn.com/bao/uploaded/i6/TB1ntFiPXXXXXaeXVXXlyf68pXX_024351.jpg_b.jpg, 炫龙 毁灭者X55 Ti游戏本GTX1050Ti独显 七代i5-7300HQ手提笔记本
41笔,https://detail.tmall.com/item.htm?id=550159517365&skuId=3514921302563&user_id=2980145876&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,5999.00,http://img.alicdn.com/bao/uploaded/i5/TB1JG3jQVXXXXXBaFXX7WGi8VXX_031731.jpg_b.jpg, 神舟战神 游戏本 T6-X7 I7-7700HQ 1050显卡 4G独显 8G内存 IPS屏
43笔,https://detail.tmall.com/item.htm?id=544180385330&skuId=3277774704903&user_id=2943026087&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6299.00,http://img.alicdn.com/bao/uploaded/i4/2413561286/TB26ahUcbRkpuFjSspmXXc.9XXa_!!2413561286.jpg_b.jpg, MSI/微星 GL62M 7RD 223CN 笔记本电脑游戏本分期付款15.6英寸
40笔,https://detail.tmall.com/item.htm?id=550366217647&skuId=3353416748045&user_id=1687522049&cat_id=53320010&is_b=1&rn=1abecdff758aad606553c52938823a2c,6999.00,http://img.alicdn.com/bao/uploaded/i3/TB1xZ66QVXXXXc6aXXXh4wd.VXX_082948.jpg_b.jpg, MSI/微星 PE62 7RD-1251CN 酷睿七代i7 4G独显 银色游游戏笔记本
